repo,commit_hash,files_changed,lines_added,lines_deleted,total_changes
django,d4ab33af061c13e290b6996756b2c72578891285,1,4,1,5
django,1f2a56567c565d91d797b8a9071ff77a75b52080,1,10,3,13
django,71d1e92e11093feb9a337f6d77078c5e75cbb92f,3,6,0,6
django,e6108b7388775f4996a5906e0525fbdd40d2df51,3,54,3,57
django,f991a1883889a520679fe41112281435581211e1,1,3,1,4
django,a91e03d7c388ada569a212bafdbdff9c9bff47f2,1,1,1,2
django,4aefc9ea51cc2d78f43b1dc2aa69732e55d18a56,1,13,9,22
django,497d9cdc67f0bdae929fcde677b5f441e94a6c8b,3,15,2,17
django,bbc6818bc12f14c1764a7eb68556018195f56b59,3,2,46,48
django,07d6fa5a95b79a70cf4ba4b725ce37e488ceb7ca,1,0,1,1
django,169152f8f5ac586e19779faf9943086fe0f416e9,2,37,17,54
django,69d47f921979aba5ad5d876bff015b55121fc49c,1,1,1,2
django,9482a4116cc50961e8093151c87ba0719bcb33be,3,13,1,14
django,e84dc8715e91d51364ba6bda2b2fb07e7a8b750e,2,14,7,21
django,acd0bec51366e259b4c2b43e4c09755541cdf560,4,16,4,20
django,2de474dffca008038a7f9fe10289f390c5f4f15b,1,1,0,1
django,9a8461f92250b49994aa133b564ec68617f6d78c,1,1,1,2
django,158fd81ef5a5647d27eb3065063284f9ee0a3ca4,4,28,1,29
django,e85db77e11e37d6ec82526557c4dafe4b30dc699,2,22,6,28
django,f45bfa5e2801545c1c8787f59bee3867c9928871,2,4,4,8
django,04613791af21a124299e0883bcbd6bd3fa0ab51f,1,1,1,2
django,8d251b512bafd7b7f736cfcabeba0ae76106f2db,5,18,2,20
django,cb24bebfab08f55b05599ea1bdcdc159f071225c,1,3,0,3
django,283ea9e9e014adf0013c18700c36b98efa2f0aac,14,253,39,292
django,96984b9b0f1d88f096985a908ee67dc6f2b9a682,2,6,0,6
django,4139cb8d35cfcb2beba6a8c629c20016ae84cf18,3,3,8,11
django,4513a6c2a9694b3da144846f3edfa1c3673a181d,1,3,8,11
django,fb3a11071aae27ef869d2b029289b9f59cc41128,11,15,16,31
django,08b4dfc5734f5d2fce685eabcd65385a6656db2f,8,182,243,425
django,3dea5fed077e33c7d8bca4b5eeade5420cb05d27,1,1,0,1
django,f6384479ad77c49e0537a5f71eb0331af9eefc32,1,4,0,4
django,fee2cb2d6dfefad614b27e659f5648c793006ef8,1,1,1,2
django,8d2a925a0e0bc6d1161ab41ad35f8422c549cada,1,28,0,28
django,055d7a682f4923fc5a50d7c1a12fd7f52675f7e8,2,11,7,18
django,0dd9d5ee5c30e51754d93e926e24ff92654ecf5d,1,10,4,14
django,a7544eb3e0a6b411a5c540847a46ff0a0b715b97,1,14,0,14
django,380d77cccefbe185ddb3f9368d8fdeb7b7cf7108,2,43,16,59
django,97228a86d2b7d8011b97bebdfe0f126a536a3841,1,11,4,15
django,92d4aea5ffacc38c5f7903b9410d0abec83f14de,1,8,1,9
django,c507aaf9abeff4b93b7f9bdbc55801f2ccfc2d01,2,31,10,41
django,bb7f4f8a734f0f4dccd88e130b1c2ccd68b2d097,1,1,1,2
django,7732f942a98a709750fc1fed2c69741183844a3c,4,114,3,117
django,56ed37e17e5b1a509aa68a0c797dcff34fcc1366,16,157,26,183
django,2c2d36376a0ce0edc048c077a60be6e3b953bb09,2,13,0,13
django,3282d9f4edbe5d341a0fa2a8c62b435b3885ab64,4,41,2,43
django,977345f70df64a1d524e185e05b956e57c612110,2,11,8,19
django,220db1c78a1bdeb3ccb91ba8bf0b7ab829379c35,1,1,1,2
django,ef46215fdecb755c0b77c47fdb8fec670abb5e8b,10,17,6,23
django,d007fcf7291cc3c24d4545e23c759bde22b6a8a6,20,97,97,194
django,64a4d8ad005721b17fafd3399bdf49d7d0f94455,1,15,15,30
django,0dac3dd4a1573b3c9cef3aea6a98440decfc5460,2,8,8,16
django,3c09ed81d3e90d7ce60372096c58e80548d1d2ef,2,19,1,20
django,226ca7b5ce283e1f891dbbbefb0afaebdaa09f28,5,29,4,33
django,7cf1c22d4dfdd46f2082cfc55b714b68c4fd2de3,2,13,2,15
django,0deedbd55713d3aa1da9f88063705168bf7a4e9c,1,0,1,1
django,ec2ccff9a512adc715c5fc620bbe80790857b147,1,2,0,2
django,218077d944e5e57a560f256034f5c4f13e77ab14,4,231,16,247
django,7c54fee7760b1c61fd7f9cb7cc6a2965f4236137,3,16,6,22
django,6380e3f01e10f815de8c0223e3fd4bacb69f3808,3,39,3,42
django,087bb9e8f3478d53f12b1737af865992af17c5f2,2,10,0,10
django,6c2436fa8671cd41c6a5841493142308cd9541c8,1,2,4,6
